unique_id;nom_unique;doublon;bdd_source;localisation_qualite;camp_latitude;camp_longitude;URL_maps;iso3;pays;pays_population;pays_surfacekm2;derniere_date_info;actif_dernieres_infos;ouverture/premiere_date;fermeture_date;camp_adresse;camp_code_postal;camp_commune;type_camp;capacite_2017;capacite_2018;capacite_2019;capacite_2020;capacite_2021;capacite_2022;capacite_2023;effectif_2017;effectif_2018;effectif_2019;effectif_2020;effectif_2021;effectif_hommes_2022;effectif_femmes_2022;effectifs_mineurs_2022;effectif_total_2022;duree_max_2017;duree_max_2018;duree_max_2019;duree_max_2020;duree_max_2021;duree_max_2022;duree_moy_2017;duree_moy_2018;duree_moy_2019;duree_moy_2020;duree_moy_2021;duree_moy_2022;mineurs_2017;mineurs_2018;mineurs_2019;mineurs_2020;mineurs_2021;nationalite;capacite;prison;degurba;horsdburba;ville_proche_nom;ville_proche_code postal;ville_proche_population;distance_ville_proche;eurostat_computed_fua_code;eurostat_computed_gisco_id;eurostat_name_ascii_2016;eurostat_pop_2019;camps_commune_surfacekm2;infrastructure_norm;infrastructure_avant_conversion;infrastructure_solidite;infrastructure_confort;climat;mairie_distance;atm_distance;hopital_distance;pharmacie_distance;arret_bus_distance_km;gare_distance_km;medecin_clinique_hors_camp_distance_km;dentiste_hors_camp_distance_km;ecole_hors_camp_distance_km;poste_hors_camp_distance_km;clc_majoritaire_2;clc_majoritaire_3;clc_majoritaire_23_mixte;clc_majoritaire_13_mixte;distance_13_mines_decharges_chantiers;distance_124_aeroport;distance_123_zones_portuaires;distance_122_reseaux_routiers;distance_24_zones_agricoles_heterogenes;distance_41_zones_humides_interieures;distance_121_zi_zac;distanceschengenkm;eloignementschengen;classificationweb;membersclus3;membersclus4;geom
1;Kareç. Centre de détention fermé;Non;Migreurop;vérifiée;41.3796;19.6107;NA;ALB;Albania;2854191.0;28336.0;2021;oui;2010;NA;NA;NA;Vore;fermé;NA;NA;125.0;NA;NA;NA;NA;NA;80;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;125.0;non;2.0;False;NA;NA;NA;NA;NA;AL_AL123;Shijak;27861.0;92.21624318;NA;pas de conversion;NA;NA;NA;7.713;8.62;5.301;7.267;5.648;5.204;7.322;7.134;1.886;5.953;11.0;112.0;112.0;112.0;4.815;8.108;13.966;49.173;0.0;23.224;1.023;169.926;loin_externe;rural;1.0;21.0;0101000020E6100000CEAACFD5569C3340E3C798BB96B04440
10;Bludenz;Non;Migreurop;vérifiée;47.15594;9.82109;NA;AUT;Austria;8879920.0;83993.0;2018;oui;2014;NA;Untersteinstrasse 2 A;6700;Bludenz;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;2.0;False;St. Gallen;NA;166273.0;66.121;CH007L2;AT_80103;Bludenz;14845.0;30.0218412;dur / police;pas de conversion;4.0;NA;NA;0.359;0.084;0.537;0.075;0.101;0.666;0.31;9.022;0.416;0.083;11.0;111.0;111.0;111.0;2.157;40.919;168.546;0.299;0.879;13.908;0.134;20.657;proche_interne;ville;3.0;12.0;0101000020E6100000312592E865A42340B21188D7F5934740
3;Wien  Rossauer Lande;Non;Migreurop;vérifiée;48.22055;16.36745;NA;AUT;Austria;8879920.0;83993.0;2018;oui;2010;NA;Rossauer Lände 9;A-1090;Wien;fermé;NA;353.0;NA;NA;NA;NA;NA;NA;3844;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;353.0;oui;1.0;False;Wien;NA;3004660.0;2.312;AT001C1;AT_90001;Wien;1911191.0;413.46705327;dur / police;pas de conversion;4.0;NA;NA;1.418;0.235;0.45;0.543;0.436;0.184;0.301;0.553;0.436;0.092;11.0;111.0;111.0;111.0;8.518;15.469;5.861;1.241;4.702;42.271;0.702;58.29;loin_interne;banlieue;2.0;11.0;0101000020E61000004BEA0434115E304000917EFB3A1C4840
4;Wien Hernalser Gurtel;Non;Migreurop;vérifiée;48.21402;16.34109;NA;AUT;Austria;8879920.0;83993.0;2018;oui;2009;NA;Breitenfelder Gasse 21;A-1080;Wien;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;oui;1.0;False;Wien;NA;3004660.0;4.194;AT001C1;AT_90001;Wien;1911191.0;413.46705327;dur / police;pas de conversion;4.0;NA;NA;1.205;0.449;0.348;0.474;0.199;0.398;0.187;0.226;0.505;0.409;11.0;111.0;111.0;111.0;10.534;16.54;6.675;1.797;4.858;42.929;0.487;61.416;loin_interne;banlieue;2.0;11.0;0101000020E61000001EFE9AAC515730404F58E201651B4840
14;Eisenstadt PAZ;Non;Migreurop;vérifiée;47.84762;16.53317;NA;AUT;Austria;8879920.0;83993.0;2018;oui;2014;NA;Gölbeszeile 6;A-7001;Eisenstadt;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;2.0;False;Wien;NA;3004660.0;62.521;HU019L1;AT_10101;Eisenstadt;14816.0;42.46519302;dur / police;pas de conversion;4.0;NA;NA;0.949;0.358;2.028;0.788;0.036;0.734;0.784;0.709;0.065;0.566;12.0;121.0;121.0;121.0;5.743;19.449;12.69;4.118;0.22;10.583;0.0;15.956;proche_interne;banlieue;2.0;11.0;0101000020E6100000543541D47D883040BFB7E9CF7EEC4740
21;Salzburg;Non;Migreurop;vérifiée;47.77908;13.06718;NA;AUT;Austria;8879920.0;83993.0;2018;oui;2014;NA;Alpenstraße 90;5020;Salzburg;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;1.0;False;Salzburg;NA;378171.0;3.866;AT004C1;AT_50101;Salzburg;155021.0;66.41892424;dur;pas de conversion;4.0;NA;NA;4.277;0.798;1.973;0.182;0.214;1.55;0.242;0.534;0.671;0.666;12.0;121.0;121.0;121.0;6.501;4.087;95.186;3.624;0.18;10.954;0.0;12.153;proche_interne;banlieue;2.0;11.0;0101000020E6100000FCE3BD6A65222A40DD7BB8E4B8E34740
18;Schwechat;Non;Migreurop;vérifiée;48.14203;16.47421;NA;AUT;Austria;8879920.0;83993.0;2015;non;2010;2015;Plankenwehrstr. 1;2320;Schwechat;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non_pertinent;non_pertinent;non_pertinent;NA;non_pertinent;non_pertinent;non_pertinent;non_pertinent;non_pertinent;non_pertinent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;2.0;False;Wien;NA;3004660.0;15.441;AT001L4;AT_30740;Schwechat;19570.0;45.28380517;dur / police;pas de conversion;4.0;NA;NA;0.391;0.818;0.084;0.182;0.077;0.748;0.084;2.716;0.319;0.291;12.0;121.0;121.0;121.0;8.146;3.912;3.418;1.096;0.417;30.543;0.0;55.165;loin_interne;banlieue;NA;NA;0101000020E6100000A86F99D3657930408386FE092E124840
20;Vordernberg;Non;Migreurop;vérifiée;47.4596;14.99323;NA;AUT;Austria;8879920.0;83993.0;2019;oui;2014;NA;Hauptstrasse 162;8794;Vordernberg;fermé;NA;193.0;NA;NA;NA;NA;NA;NA;1646;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;193.0;non;2.0;False;Graz;NA;662531.0;80.213;AT002L4;AT_61120;Trofaiach;11119.0;142.86206071;dur;pas de conversion;4.0;NA;NA;5.749;4.649;16.352;5.578;0.641;1.949;4.669;5.447;4.477;1.244;23.0;231.0;23.0;2.0;8.103;33.199;104.813;11.234;3.398;29.041;3.707;132.579;loin_interne;rural;1.0;21.0;0101000020E6100000EACF7EA488FC2D40ED9E3C2CD4BA4740
12;Wiener Neustadt;Non;Migreurop;vérifiée;47.81008;16.24437;NA;AUT;Austria;8879920.0;83993.0;2015;non;2010;2015;Burgplatz 2;A-2700;Wiener Neustadt;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non_pertinent;non_pertinent;non_pertinent;NA;non_pertinent;non_pertinent;non_pertinent;non_pertinent;non_pertinent;non_pertinent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;2.0;False;Wien;NA;3004660.0;67.952;HU019L1;AT_30401;Wiener Neustadt;45823.0;59.99956853;dur / police;pas de conversion;4.0;NA;NA;0.4;0.245;0.608;0.245;0.091;1.074;0.16;0.676;0.113;0.215;11.0;111.0;111.0;111.0;2.859;3.473;33.33;0.59;1.711;29.764;0.643;29.342;proche_interne;banlieue;NA;NA;0101000020E61000009F1F46088F3E3040649291B3B0E74740
13;Eisenstadt 2.;Non;Migreurop;quartier;47.84778;16.53331;NA;AUT;Austria;8879920.0;83993.0;2016;doute;2009;NA;Neusiedlerstaße 84;A-7001;Eisenstadt;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;2.0;False;Wien;NA;3004660.0;62.5;HU019L1;AT_10101;Eisenstadt;14816.0;42.46519302;NA;pas de conversion;NA;NA;NA;0.969;0.381;2.047;0.808;0.066;0.749;0.801;0.734;0.041;0.589;12.0;121.0;121.0;121.0;5.749;19.46;12.687;4.138;0.236;10.567;0.0;15.978;proche_interne;banlieue;NA;NA;0101000020E610000038A1100187883040F819170E84EC4740
7;Steyr;Non;Migreurop;vérifiée;48.04161;14.41913;NA;AUT;Austria;8879920.0;83993.0;2015;non;2010;2015;Berggasse 8;A-4400;Steyr;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non_pertinent;non_pertinent;non_pertinent;NA;non_pertinent;non_pertinent;non_pertinent;non_pertinent;non_pertinent;non_pertinent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;2.0;False;Linz;NA;655268.0;42.098;AT003L4;AT_40201;Steyr;38056.0;26.261832300000002;dur / police;pas de conversion;4.0;NA;NA;0.439;0.453;0.623;0.229;0.106;0.66;0.36;0.993;0.374;0.268;11.0;111.0;111.0;111.0;5.742;26.013;28.525;16.472;1.08;44.561;0.545;87.148;loin_interne;banlieue;NA;NA;0101000020E6100000828B153598D62C40E197FA7953054840
667;Fieberbrunn Federal Accomodation Facility (BBE Fieberbrunn);Non;Global Detention Project;commune;47.47662;12.54564;NA;AUT;Austria;8879920.0;83993.0;2020;non;2020;2020;Schönauweg 1b. 6391 Fieberbrunn. Autriche;NA;Fieberbrunn;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non_pertinent;non_pertinent;non_pertinent;NA;non_pertinent;non_pertinent;non_pertinent;pas de données;non_pertinent;non_pertinent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;3.0;False;Salzburg;NA;378171.0;76.982;AT004L4;AT_70403;Fieberbrunn;4333.0;76.43114527;NA;pas de conversion;NA;NA;NA;0.169;0.147;9.727;2.247;0.146;2.97;1.279;0.128;0.394;0.59;11.0;112.0;112.0;112.0;6.077;48.51;144.295;21.647;8.317;5.946;10.878;25.258;proche_interne;non vérifié;NA;NA;0101000020E610000065C746205E1729404C4F58E201BD4740
11;Klagenfurt PAZ;Non;Migreurop;vérifiée;46.61985;14.30716;NA;AUT;Austria;8879920.0;83993.0;2018;oui;2009;NA;St. Ruprechterstr. 3;A-9020;Klagenfurt;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;1.0;False;Klagenfurt;NA;256003.0;3.397;AT006C1;AT_20101;Klagenfurt am Wörthersee;101300.0;119.95942939;dur / police;pas de conversion;4.0;NA;NA;0.63;0.399;0.424;0.401;0.091;0.748;0.424;0.359;0.214;0.536;11.0;111.0;111.0;111.0;2.377;2.535;18.533;0.35;3.092;3.278;1.047;29.58;proche_interne;banlieue;2.0;11.0;0101000020E61000005A475513449D2C407A36AB3E574F4740
17;Villach;Non;Migreurop;vérifiée;46.61061;13.85535;NA;AUT;Austria;8879920.0;83993.0;2020;non;pas de données;2020;Trattengasse 34;A-9500;Villach;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non_pertinent;non_pertinent;non_pertinent;NA;non_pertinent;non_pertinent;non_pertinent;non_pertinent;non_pertinent;non_pertinent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;2.0;False;Klagenfurt;NA;256003.0;49.214;AT006L3;AT_20201;Villach;62882.0;134.02281902;dur / police;pas de conversion;4.0;NA;NA;1.025;1.095;0.653;0.258;0.06;1.355;0.273;1.152;0.539;0.454;11.0;112.0;112.0;112.0;6.477;35.563;19.348;0.932;0.695;4.854;0.544;15.451;proche_interne;banlieue;NA;NA;0101000020E61000006744696FF0B52B40274EEE77284E4740
16;Leoben;Non;Migreurop;vérifiée;47.37217;15.09131;NA;AUT;Austria;8879920.0;83993.0;2015;non;2010;2015;Josef-Heißl-Strasse 14;A-8700;Loeben;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non_pertinent;non_pertinent;non_pertinent;NA;non_pertinent;non_pertinent;non_pertinent;non_pertinent;non_pertinent;non_pertinent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;2.0;False;Graz;NA;662531.0;62.159;AT002L4;AT_61108;Leoben;24471.0;107.68488583;dur / police;pas de conversion;4.0;NA;NA;1.33;0.211;1.349;0.241;0.011;2.273;0.318;0.377;0.167;0.562;11.0;112.0;112.0;112.0;1.648;31.177;116.863;6.718;1.214;38.054;0.005;118.021;loin_interne;banlieue;NA;NA;0101000020E610000074982F2FC02E2E40B2463D44A3AF4740
15;Graz;Non;Migreurop;vérifiée;47.07494;15.44119;NA;AUT;Austria;8879920.0;83993.0;2018;oui;2014;NA;Paulustorgasse 8;A-8010;Graz;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;1.0;False;Graz;NA;662531.0;0.25;AT002C1;AT_60101;Graz;291072.0;128.67410627;dur / police;pas de conversion;4.0;NA;NA;0.721;0.141;0.825;0.479;0.18;0.477;0.289;0.292;0.38;0.584;11.0;111.0;111.0;111.0;6.323;7.57;118.864;1.782;2.412;55.553;1.663;62.127;loin_interne;banlieue;2.0;11.0;0101000020E6100000FDA4DAA7E3E12E40C49448A297894740
8;Wels;Non;Migreurop;vérifiée;48.1562;14.01384;NA;AUT;Austria;8879920.0;83993.0;2018;oui;2004;NA;Dragonerstrasse 29;A-4600;Wels;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;2.0;False;Linz;NA;655268.0;39.867;AT003L4;AT_40301;Wels;62470.0;45.90996981;dur / police;pas de conversion;4.0;NA;NA;1.206;0.728;0.797;0.844;0.097;0.396;0.797;0.95;0.616;0.557;12.0;121.0;121.0;121.0;2.351;2.726;27.568;2.314;1.767;53.983;0.0;69.584;loin_interne;banlieue;2.0;11.0;0101000020E6100000D7C0560916072C404ED1915CFE134840
22;Wien Familienschubhaft Zinnergasse;Non;Migreurop;vérifiée;48.168;16.47402;NA;AUT;Austria;8879920.0;83993.0;2018;oui;2014;NA;Zinnergasse 29a;A-1110;Wien;fermé;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50.0;non;1.0;False;Wien;NA;3004660.0;12.668;AT001C1;AT_90001;Wien;1911191.0;413.46705327;dur;pas de conversion;4.0;NA;NA;4.688;0.278;4.25;0.249;0.17;3.261;2.611;2.73;2.019;0.439;11.0;112.0;112.0;112.0;6.305;5.769;0.706;3.445;1.757;32.888;0.042;52.494;loin_interne;banlieue;2.0;11.0;0101000020E610000061A6ED5F597930402FDD240681154840
6;Innsbruck;Non;Migreurop;vérifiée;47.2707;11.40005;NA;AUT;Austria;8879920.0;83993.0;2018;oui;2009;NA;Kaiser-Jägerstraße 8;A-6020;Innsbruck;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;1.0;False;Innsbruck;NA;353941.0;3.712;AT005C1;AT_70101;Innsbruck;131961.0;104.52131649;dur / police;pas de conversion;4.0;NA;NA;1.05;0.283;0.514;0.673;0.144;0.52;0.253;0.167;0.458;0.129;11.0;112.0;112.0;112.0;20.466;2.859;208.417;0.441;1.555;12.677;1.599;26.52;proche_interne;banlieue;2.0;11.0;0101000020E61000009487855AD3CC26407B832F4CA6A24740
19;St Polten;Non;Migreurop;vérifiée;48.20096;15.6188;NA;AUT;Austria;8879920.0;83993.0;2018;oui;2010;NA;Linzerstrasse 47;A-3100;St. Pölten;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;2.0;False;Wien;NA;3004660.0;84.508;AT001L4;AT_30201;St. Pölten;55514.0;109.04790236;dur / police;pas de conversion;4.0;NA;NA;0.731;1.062;1.787;0.895;0.022;0.561;0.854;0.439;0.215;0.357;11.0;111.0;111.0;111.0;8.246;38.245;54.822;0.771;0.718;56.582;0.421;104.268;loin_interne;ville;3.0;12.0;0101000020E61000009487855AD33C2F40EFE6A90EB9194840
666;Thalham Federal Accomodation Facility (BBE East Thalham);Non;Global Detention Project;commune;47.92457;13.46986;NA;AUT;Austria;8879920.0;83993.0;2020;non;2020;2020;Sankt Georgen im Attergau;NA;Sankt Georgen im Attergau;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non_pertinent;non_pertinent;non_pertinent;NA;non_pertinent;non_pertinent;non_pertinent;pas de données;non_pertinent;non_pertinent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;3.0;False;Salzburg;NA;378171.0;51.596;AT004L4;AT_41734;Sankt Georgen im Attergau;4455.0;15.58887908;NA;pas de conversion;NA;NA;NA;2.581;7.45;2.72;2.658;0.121;2.903;2.181;2.645;2.306;2.962;11.0;112.0;112.0;112.0;21.352;37.678;69.686;17.495;0.288;11.871;1.733;54.811;loin_interne;non vérifié;NA;NA;0101000020E6100000AA656B7D91F02A406E6E4C4F58F64740
669;Traiskirchen Federal Accommodation Facility (BBE EAST Traiskirchen);Non;Global Detention Project;commune;48.01577;16.29389;NA;AUT;Austria;8879920.0;83993.0;2020;non;2020;2020;2514 Traiskirchen. Autriche;NA;Traiskirchen;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non_pertinent;non_pertinent;non_pertinent;NA;non_pertinent;non_pertinent;non_pertinent;pas de données;non_pertinent;non_pertinent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;2.0;False;Wien;NA;3004660.0;33.477;AT001L4;AT_30639;Traiskirchen;18758.0;29.6835888;NA;pas de conversion;NA;NA;NA;0.401;0.284;4.791;0.205;0.322;0.358;0.21;0.299;0.35;0.411;11.0;111.0;111.0;111.0;2.268;5.715;21.91;3.083;0.432;30.985;0.332;52.416;loin_interne;non vérifié;NA;NA;0101000020E6100000179F02603C4B3040042159C004024840
668;Bergheim Federal Accommodation Facility (BBE Berheim);Non;Global Detention Project;commune;47.84657;13.03534;NA;AUT;Austria;8879920.0;83993.0;2020;non;2020;2020;5101 Bergheim bei Salzburg. Autriche;NA;Bergheim;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non_pertinent;non_pertinent;non_pertinent;NA;non_pertinent;non_pertinent;non_pertinent;pas de données;non_pertinent;non_pertinent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;3.0;False;Salzburg;NA;378171.0;8.172;AT004L4;AT_50303;Bergheim;5583.0;15.00417273;NA;pas de conversion;NA;NA;NA;1.534;0.876;5.587;1.756;0.591;2.006;0.807;1.158;1.601;0.626;11.0;112.0;112.0;112.0;11.007;5.339;89.766;2.702;0.155;7.684;0.402;4.911;proche_interne;non vérifié;NA;NA;0101000020E6100000357BA01518122A402AE3DF675CEC4740
5;Linz;Non;Migreurop;vérifiée;48.30697;14.30442;NA;AUT;Austria;8879920.0;83993.0;2018;oui;2004;NA;Nietzschestraße 33;A-4021;Linz;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;1.0;False;Linz;NA;655268.0;4.007;AT003C1;AT_40101;Linz;206595.0;95.50009508;dur / police;pas de conversion;4.0;NA;NA;1.86;0.722;0.306;0.54;0.297;1.913;0.268;0.335;0.554;0.717;12.0;121.0;121.0;121.0;6.432;10.299;0.654;1.102;1.826;41.632;0.0;42.122;loin_interne;banlieue;2.0;11.0;0101000020E6100000247F30F0DC9B2C40336DFFCA4A274840
9;Ried/Innkreis;Non;Migreurop;commune;48.21449;13.49274;NA;AUT;Austria;8879920.0;83993.0;0;doute;pas de données;NA;NA;NA;Ried im Innkreis;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;2.0;False;Passau;NA;245459.0;62.237;DE081L1;AT_41225;Ried im Innkreis;12220.0;6.83319785;NA;pas de conversion;NA;NA;NA;0.892;0.689;0.539;0.955;0.264;1.712;1.162;1.809;0.397;0.658;11.0;112.0;112.0;112.0;8.189;39.88;38.049;20.183;0.534;17.75;0.223;26.793;proche_interne;non vérifié;NA;NA;0101000020E6100000B1DCD26A48FC2A40D6A88768741B4840
2;Wien airport;Non;Migreurop;vérifiée;48.12527;16.55305;NA;AUT;Austria;8879920.0;83993.0;2018;doute;2006;NA;Wien-Flughafen;1300;Schwechat;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;non;2.0;False;Wien;NA;3004660.0;23.951;AT001L4;AT_30740;Schwechat;19570.0;45.28380517;NA;pas de conversion;NA;NA;NA;6.6;1.075;0.998;0.984;0.479;1.3;6.898;11.549;5.339;1.18;12.0;124.0;124.0;124.0;2.056;0.0;4.04;0.112;1.798;25.698;2.783;47.733;loin_interne;banlieue;NA;NA;0101000020E6100000840D4FAF948D3040C095ECD808104840
24;Yevlakh detention centers for illegal migration;Non;Migreurop;commune;40.7227;47.16864;NA;AZE;Azerbaijan;10024283.0;86250.0;0;doute;pas de données;pas de données;Yevlakh;NA;Yevlakh;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;NA;True;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de conversion;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;245.072;293.494;421.441;330.632;243.832;240.282;244.855;2193.776;loin_externe;non vérifié;NA;NA;0101000020E61000001366DAFE95954740DC68006F815C4440
23;Baku Detention centers for illegal migration;Non;Migreurop;commune;40.42615;49.8769;NA;AZE;Azerbaijan;10024283.0;86250.0;0;doute;pas de données;pas de données;Baku;NA;Baku;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;NA;True;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de conversion;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;455.199;511.52;611.416;529.34;454.071;446.52;455.087;2474.453;loin_externe;non vérifié;NA;NA;0101000020E610000063EE5A423EF048405F984C158C364440
25;Vitebsk Pre-trial detention center;Non;Migreurop;vérifiée;55.20603;30.21533;NA;BLR;Belarus;9419758.0;207499.0;2018;oui;2008;NA;210026. Vitebsk. Gagarina str. 2. phone number 375 212 525817;NA;Vitebsk;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;oui;NA;True;NA;NA;NA;NA;NA;NA;NA;NA;NA;dur / enfermement;pas de conversion;4.0;NA;NA;2.282;0.321;0.804;0.425;0.251;3.545;0.735;1.529;0.278;0.47;NA;NA;NA;NA;197.986;237.261;395.264;187.216;169.745;167.641;176.169;380.34;loin_externe;non classifié;NA;NA;0101000020E610000002D9EBDD1F373E4058FFE7305F9A4B40
671;Brest Pre-trial detention centre #7;Non;Global_detention_project;vérifiée;52.0849;23.69054;NA;BLR;Belarus;9419758.0;207499.0;2018;non;pas de données;2018;224030. Brest. K.Marks str. 86. (375-0162);204333;NA;fermé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pas de données;pas de données;pas de données;NA;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;pas de données;NA;NA;oui;NA;True;NA;NA;NA;NA;NA;NA;NA;NA;NA;dur / police;pas de conversion;4.0;NA;NA;0.978;0.221;0.351;0.32;0.218;2.712;0.351;0.598;0.042;0.273;NA;NA;NA;NA;30.448;36.264;180.049;8.55;3.335;13.606;1.834;5.795;proche_externe;non classifié;NA;NA;0101000020E61000007094BC3AC7B0374017B7D100DE0A4A40
